2024-06-10 11:21:36,489.nutrition_producer.INFO ==================================================
2024-06-10 11:21:36,489.nutrition_producer.INFO Today is 2024-06-10 at 11:21 AM
2024-06-10 11:21:36,489.nutrition_producer.INFO Running on: nt Windows 10
2024-06-10 11:21:36,490.nutrition_producer.INFO Python version:  3.11.9
2024-06-10 11:21:36,490.nutrition_producer.INFO Python path: C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0
2024-06-10 11:21:36,490.nutrition_producer.INFO Working dir: C:\Users\bambe\OneDrive\Documents\NMSU\44671_StreamingData\Module_7\44671_streaming-07-final-project
2024-06-10 11:21:36,490.nutrition_producer.INFO ==================================================
2024-06-10 11:21:36,524.nutrition_producer.INFO Queue 'Protein (g)' declared.
2024-06-10 11:21:36,542.nutrition_producer.INFO Queue 'Fat (g)' declared.
2024-06-10 11:21:36,558.nutrition_producer.INFO Queue 'Carbohydrates (g)' declared.
2024-06-10 11:21:36,572.nutrition_producer.INFO Queue 'Sodium (mg)' declared.
2024-06-10 11:21:36,588.nutrition_producer.INFO Queue 'Fiber' declared.
2024-06-10 11:21:36,871.nutrition_producer.INFO  [x] Sent 'Date: 1/8/2023, Protein (g): 178.6' to queue 'Protein (g)'.
2024-06-10 11:21:36,876.nutrition_producer.INFO  [x] Sent 'Date: 1/8/2023, Fat (g): 67.5' to queue 'Fat (g)'.
2024-06-10 11:21:36,884.nutrition_producer.INFO  [x] Sent 'Date: 1/8/2023, Carbohydrates (g): 316.1' to queue 'Carbohydrates (g)'.
2024-06-10 11:21:36,889.nutrition_producer.INFO  [x] Sent 'Date: 1/8/2023, Sodium (mg): 2453.9' to queue 'Sodium (mg)'.
2024-06-10 11:21:36,894.nutrition_producer.INFO  [x] Sent 'Date: 1/8/2023, Fiber: 26.6' to queue 'Fiber'.
2024-06-10 11:21:36,904.nutrition_producer.INFO  [x] Sent 'Date: 1/9/2023, Protein (g): 182.0' to queue 'Protein (g)'.
2024-06-10 11:21:36,910.nutrition_producer.INFO  [x] Sent 'Date: 1/9/2023, Fat (g): 63.0' to queue 'Fat (g)'.
2024-06-10 11:21:36,919.nutrition_producer.INFO  [x] Sent 'Date: 1/9/2023, Carbohydrates (g): 350.4' to queue 'Carbohydrates (g)'.
2024-06-10 11:21:36,925.nutrition_producer.INFO  [x] Sent 'Date: 1/9/2023, Sodium (mg): 1786.6' to queue 'Sodium (mg)'.
2024-06-10 11:21:36,929.nutrition_producer.INFO  [x] Sent 'Date: 1/9/2023, Fiber: 32.800000000000004' to queue 'Fiber'.
